data_type,value,date,week_number_year,month_year
se_all,533,04-11-2019,44 2019,November 2019
se_all,587,05-11-2019,44 2019,November 2019
se_all,527,06-11-2019,44 2019,November 2019
se_all,427,07-11-2019,44 2019,November 2019
se_all,398,08-11-2019,44 2019,November 2019
se_all,360,09-11-2019,44 2019,November 2019
se_all,390,10-11-2019,44 2019,November 2019
se_all,440,11-11-2019,45 2019,November 2019
se_all,412,12-11-2019,45 2019,November 2019
se_all,502,13-11-2019,45 2019,November 2019
se_all,472,14-11-2019,45 2019,November 2019
se_all,383,15-11-2019,45 2019,November 2019
se_all,351,16-11-2019,45 2019,November 2019
se_all,322,17-11-2019,45 2019,November 2019
se_all,387,18-11-2019,46 2019,November 2019
se_all,413,19-11-2019,46 2019,November 2019
se_all,431,20-11-2019,46 2019,November 2019
se_all,393,21-11-2019,46 2019,November 2019
se_all,323,22-11-2019,46 2019,November 2019
se_all,333,23-11-2019,46 2019,November 2019
se_all,296,24-11-2019,46 2019,November 2019
se_all,391,25-11-2019,47 2019,November 2019
se_all,389,26-11-2019,47 2019,November 2019
se_all,358,27-11-2019,47 2019,November 2019
se_all,415,28-11-2019,47 2019,November 2019
se_all,352,29-11-2019,47 2019,November 2019
se_all,319,30-11-2019,47 2019,November 2019
se_all,339,01-12-2019,47 2019,December 2019
se_all,451,02-12-2019,48 2019,December 2019
se_all,501,03-12-2019,48 2019,December 2019
se_all,468,04-12-2019,48 2019,December 2019
se_all,391,05-12-2019,48 2019,December 2019
se_all,378,06-12-2019,48 2019,December 2019
se_all,250,07-12-2019,48 2019,December 2019
se_all,294,08-12-2019,48 2019,December 2019
se_all,333,09-12-2019,49 2019,December 2019
se_all,302,10-12-2019,49 2019,December 2019
se_all,299,11-12-2019,49 2019,December 2019
se_all,259,12-12-2019,49 2019,December 2019
se_all,275,13-12-2019,49 2019,December 2019
se_all,240,14-12-2019,49 2019,December 2019
se_all,256,15-12-2019,49 2019,December 2019
se_all,331,16-12-2019,50 2019,December 2019
se_all,310,17-12-2019,50 2019,December 2019
se_all,288,18-12-2019,50 2019,December 2019
se_all,272,19-12-2019,50 2019,December 2019
se_all,256,20-12-2019,50 2019,December 2019
se_all,273,21-12-2019,50 2019,December 2019
se_all,246,22-12-2019,50 2019,December 2019
se_all,282,23-12-2019,51 2019,December 2019
se_all,285,24-12-2019,51 2019,December 2019
se_all,250,25-12-2019,51 2019,December 2019
se_all,263,26-12-2019,51 2019,December 2019
se_all,257,27-12-2019,51 2019,December 2019
se_all,242,28-12-2019,51 2019,December 2019
se_all,240,29-12-2019,51 2019,December 2019
se_all,217,30-12-2019,52 2019,December 2019
se_all,164,31-12-2019,52 2019,December 2019
se_all,140,01-01-2020,00 2020,January 2020
se_all,229,02-01-2020,00 2020,January 2020
se_all,284,03-01-2020,00 2020,January 2020
se_all,342,04-01-2020,00 2020,January 2020
se_all,245,05-01-2020,00 2020,January 2020
se_all,291,06-01-2020,01 2020,January 2020
se_all,286,07-01-2020,01 2020,January 2020
se_all,317,08-01-2020,01 2020,January 2020
se_all,378,09-01-2020,01 2020,January 2020
se_all,363,10-01-2020,01 2020,January 2020
se_all,286,11-01-2020,01 2020,January 2020
se_all,374,12-01-2020,01 2020,January 2020
se_all,420,13-01-2020,02 2020,January 2020
se_all,354,14-01-2020,02 2020,January 2020
se_all,360,15-01-2020,02 2020,January 2020
se_all,319,16-01-2020,02 2020,January 2020
se_all,317,17-01-2020,02 2020,January 2020
se_all,256,18-01-2020,02 2020,January 2020
se_all,328,19-01-2020,02 2020,January 2020
se_all,399,20-01-2020,03 2020,January 2020
se_all,357,21-01-2020,03 2020,January 2020
se_all,383,22-01-2020,03 2020,January 2020
se_all,375,23-01-2020,03 2020,January 2020
se_all,326,24-01-2020,03 2020,January 2020
se_all,301,25-01-2020,03 2020,January 2020
se_all,354,26-01-2020,03 2020,January 2020
se_all,345,27-01-2020,04 2020,January 2020
se_all,362,28-01-2020,04 2020,January 2020
se_all,296,29-01-2020,04 2020,January 2020
se_all,326,30-01-2020,04 2020,January 2020
se_all,284,31-01-2020,04 2020,January 2020
se_all,271,01-02-2020,04 2020,February 2020
se_all,262,02-02-2020,04 2020,February 2020
se_all,328,03-02-2020,05 2020,February 2020
se_all,345,04-02-2020,05 2020,February 2020
se_all,331,05-02-2020,05 2020,February 2020
se_all,302,06-02-2020,05 2020,February 2020
se_all,265,07-02-2020,05 2020,February 2020
se_all,247,08-02-2020,05 2020,February 2020
se_all,272,09-02-2020,05 2020,February 2020
se_all,293,10-02-2020,06 2020,February 2020
se_all,282,11-02-2020,06 2020,February 2020
se_all,317,12-02-2020,06 2020,February 2020
se_all,318,13-02-2020,06 2020,February 2020
se_all,294,14-02-2020,06 2020,February 2020
se_all,298,15-02-2020,06 2020,February 2020
se_all,361,16-02-2020,06 2020,February 2020
se_all,453,17-02-2020,07 2020,February 2020
se_all,468,18-02-2020,07 2020,February 2020
se_all,406,19-02-2020,07 2020,February 2020
se_all,432,20-02-2020,07 2020,February 2020
se_all,398,21-02-2020,07 2020,February 2020
se_all,374,22-02-2020,07 2020,February 2020
se_all,254,23-02-2020,07 2020,February 2020
se_all,312,24-02-2020,08 2020,February 2020
se_all,413,25-02-2020,08 2020,February 2020
se_all,421,26-02-2020,08 2020,February 2020
se_all,392,27-02-2020,08 2020,February 2020
se_all,353,28-02-2020,08 2020,February 2020
se_all,375,29-02-2020,08 2020,February 2020
se_all,454,01-03-2020,08 2020,March 2020
se_all,643,02-03-2020,09 2020,March 2020
se_all,692,03-03-2020,09 2020,March 2020
se_all,682,04-03-2020,09 2020,March 2020
se_all,670,05-03-2020,09 2020,March 2020
se_all,553,06-03-2020,09 2020,March 2020
se_all,551,07-03-2020,09 2020,March 2020
se_all,479,08-03-2020,09 2020,March 2020
se_all,740,09-03-2020,10 2020,March 2020
se_all,989,10-03-2020,10 2020,March 2020
se_all,961,11-03-2020,10 2020,March 2020
se_all,877,12-03-2020,10 2020,March 2020
se_all,760,13-03-2020,10 2020,March 2020
se_all,708,14-03-2020,10 2020,March 2020
se_all,699,15-03-2020,10 2020,March 2020
se_all,826,16-03-2020,11 2020,March 2020
se_all,714,17-03-2020,11 2020,March 2020
se_all,584,18-03-2020,11 2020,March 2020
se_all,374,19-03-2020,11 2020,March 2020
se_all,349,20-03-2020,11 2020,March 2020
se_all,315,21-03-2020,11 2020,March 2020
se_all,330,22-03-2020,11 2020,March 2020
se_all,427,23-03-2020,12 2020,March 2020
se_all,430,24-03-2020,12 2020,March 2020
se_all,425,25-03-2020,12 2020,March 2020
se_all,341,26-03-2020,12 2020,March 2020
se_all,305,27-03-2020,12 2020,March 2020
se_all,249,28-03-2020,12 2020,March 2020
se_all,299,29-03-2020,12 2020,March 2020
se_all,253,30-03-2020,13 2020,March 2020
se_all,274,31-03-2020,13 2020,March 2020
se_all,221,01-04-2020,13 2020,April 2020
se_all,332,02-04-2020,13 2020,April 2020
se_all,425,03-04-2020,13 2020,April 2020
se_all,520,04-04-2020,13 2020,April 2020
se_all,560,05-04-2020,13 2020,April 2020
se_all,632,06-04-2020,14 2020,April 2020
se_all,673,07-04-2020,14 2020,April 2020
se_all,696,08-04-2020,14 2020,April 2020
se_all,763,09-04-2020,14 2020,April 2020
se_all,728,10-04-2020,14 2020,April 2020
se_all,600,11-04-2020,14 2020,April 2020
se_all,684,12-04-2020,14 2020,April 2020
se_all,749,13-04-2020,15 2020,April 2020
se_all,669,14-04-2020,15 2020,April 2020
se_all,615,15-04-2020,15 2020,April 2020
se_all,560,16-04-2020,15 2020,April 2020
se_all,471,17-04-2020,15 2020,April 2020
se_all,505,18-04-2020,15 2020,April 2020
se_all,453,19-04-2020,15 2020,April 2020
se_all,622,20-04-2020,16 2020,April 2020
se_all,665,21-04-2020,16 2020,April 2020
se_all,615,22-04-2020,16 2020,April 2020
se_all,537,23-04-2020,16 2020,April 2020
se_all,530,24-04-2020,16 2020,April 2020
se_all,475,25-04-2020,16 2020,April 2020
se_all,506,26-04-2020,16 2020,April 2020
se_all,610,27-04-2020,17 2020,April 2020
se_all,543,28-04-2020,17 2020,April 2020
se_all,529,29-04-2020,17 2020,April 2020
se_all,542,30-04-2020,17 2020,April 2020
se_all,461,01-05-2020,17 2020,May 2020
se_all,413,02-05-2020,17 2020,May 2020
se_all,482,03-05-2020,17 2020,May 2020
se_all,518,04-05-2020,18 2020,May 2020
se_all,556,05-05-2020,18 2020,May 2020
se_all,648,06-05-2020,18 2020,May 2020
se_all,572,07-05-2020,18 2020,May 2020
se_all,465,08-05-2020,18 2020,May 2020
se_all,318,09-05-2020,18 2020,May 2020
se_all,453,10-05-2020,18 2020,May 2020
se_all,569,11-05-2020,19 2020,May 2020
se_all,604,12-05-2020,19 2020,May 2020
se_all,588,13-05-2020,19 2020,May 2020
se_all,551,14-05-2020,19 2020,May 2020
se_all,540,15-05-2020,19 2020,May 2020
se_all,440,16-05-2020,19 2020,May 2020
se_all,459,17-05-2020,19 2020,May 2020
se_all,619,18-05-2020,20 2020,May 2020
se_all,571,19-05-2020,20 2020,May 2020
se_all,609,20-05-2020,20 2020,May 2020
se_all,577,21-05-2020,20 2020,May 2020
se_all,544,22-05-2020,20 2020,May 2020
se_all,532,23-05-2020,20 2020,May 2020
se_all,553,24-05-2020,20 2020,May 2020
se_all,700,25-05-2020,21 2020,May 2020
se_all,574,26-05-2020,21 2020,May 2020
se_all,528,27-05-2020,21 2020,May 2020
se_all,504,28-05-2020,21 2020,May 2020
se_all,394,29-05-2020,21 2020,May 2020
se_all,276,30-05-2020,21 2020,May 2020
se_all,438,31-05-2020,21 2020,May 2020
se_all,543,01-06-2020,22 2020,June 2020
se_all,538,02-06-2020,22 2020,June 2020
se_all,495,03-06-2020,22 2020,June 2020
se_all,443,04-06-2020,22 2020,June 2020
se_all,399,05-06-2020,22 2020,June 2020
se_all,324,06-06-2020,22 2020,June 2020
se_all,383,07-06-2020,22 2020,June 2020
